user_id,question_id,subject,topic,answer_correct,confidence,time_taken,expected_time,confidence_error,speed_score,fake_confidence,guess_flag,strategy_type
S1,93,DSA,Stack,0,3,7,8.0,3,1.2782142857142855,0,0,mixed
S1,73,DSA,Stack,0,5,4,8.0,5,2.236875,1,0,trial
S1,278,DSA,Queue,0,1,12,8.0,1,0.745625,0,0,pattern
S1,2,DSA,Stack,1,4,14,,0,0.6391071428571429,0,0,conceptual
S1,146,DSA,Stack,1,4,10,8.0,0,0.8947499999999999,0,0,mixed
S1,262,DSA,Queue,1,2,10,8.0,0,0.8947499999999999,0,1,mixed
S1,152,DSA,Stack,1,5,15,8.0,0,0.5965,0,0,conceptual
S1,115,DSA,Stack,0,2,8,8.0,2,1.1184375,0,0,mixed
S1,288,DSA,Queue,0,5,10,8.0,5,0.8947499999999999,1,0,pattern
S1,229,DSA,Queue,1,4,13,8.0,0,0.6882692307692307,0,0,conceptual
S2,52,DSA,Stack,0,2,8,8.0,2,1.1184375,0,0,mixed
S2,12,DSA,Stack,0,3,11,8.0,3,0.8134090909090909,0,0,mixed
S2,19,DSA,Stack,0,2,11,8.0,2,0.8134090909090909,0,0,mixed
S2,28,DSA,Stack,1,3,12,8.0,0,0.745625,0,0,mixed
S2,133,DSA,Stack,0,2,13,8.0,2,0.6882692307692307,0,0,mixed
S2,283,DSA,Queue,1,4,4,8.0,0,2.236875,0,0,trial
S2,246,DSA,Queue,1,3,13,8.0,0,0.6882692307692307,0,0,mixed
S2,66,DSA,Stack,0,1,3,8.0,1,2.9825,0,0,trial
S2,55,DSA,Stack,0,4,6,8.0,4,1.49125,1,0,pattern
S2,32,DSA,Stack,1,2,14,8.0,0,0.6391071428571429,0,1,mixed
S3,198,DSA,Queue,0,3,5,8.0,3,1.7895,0,0,trial
S3,246,DSA,Queue,1,5,11,8.0,0,0.8134090909090909,0,0,conceptual
S3,42,DSA,Stack,0,1,7,8.0,1,1.2782142857142855,0,0,mixed
S3,72,DSA,Stack,0,5,9,8.0,5,0.9941666666666666,1,0,pattern
S3,81,DSA,Stack,1,3,10,8.0,0,0.8947499999999999,0,0,mixed
S3,83,DSA,Stack,1,4,7,8.0,0,1.2782142857142855,0,0,mixed
S3,281,DSA,Queue,0,3,11,8.0,3,0.8134090909090909,0,0,mixed
S3,8,DSA,Stack,0,5,12,,5,0.745625,1,0,pattern
S3,9,DSA,Stack,0,2,15,,2,0.5965,0,0,mixed
S3,233,DSA,Queue,1,2,6,8.0,0,1.49125,0,1,mixed
S4,41,DSA,Stack,1,1,9,8.0,0,0.9941666666666666,0,1,mixed
S4,160,DSA,Stack,0,4,8,8.0,4,1.1184375,1,0,pattern
S4,106,DSA,Stack,1,5,15,8.0,0,0.5965,0,0,conceptual
S4,161,DSA,Stack,1,1,8,8.0,0,1.1184375,0,1,mixed
S4,265,DSA,Queue,1,4,6,8.0,0,1.49125,0,0,mixed
S4,157,DSA,Stack,1,5,7,8.0,0,1.2782142857142855,0,0,mixed
S4,200,DSA,Queue,0,1,13,8.0,1,0.6882692307692307,0,0,mixed
S4,127,DSA,Stack,1,2,10,8.0,0,0.8947499999999999,0,1,mixed
S4,53,DSA,Stack,1,5,3,8.0,0,2.9825,0,0,mixed
S4,129,DSA,Stack,0,5,12,8.0,5,0.745625,1,0,pattern
S5,56,DSA,Stack,0,5,14,8.0,5,0.6391071428571429,1,0,pattern
S5,216,DSA,Queue,0,4,5,8.0,4,1.7895,1,0,trial
S5,265,DSA,Queue,1,2,5,8.0,0,1.7895,0,1,mixed
S5,5,DSA,Stack,1,2,14,,0,0.6391071428571429,0,1,mixed
S5,201,DSA,Queue,0,1,4,8.0,1,2.236875,0,0,trial
S5,49,DSA,Stack,0,4,13,8.0,4,0.6882692307692307,1,0,pattern
S5,241,DSA,Queue,1,3,10,8.0,0,0.8947499999999999,0,0,mixed
S5,38,DSA,Stack,1,3,6,8.0,0,1.49125,0,0,mixed
S5,195,DSA,Queue,0,5,12,8.0,5,0.745625,1,0,pattern
S5,287,DSA,Queue,1,3,10,8.0,0,0.8947499999999999,0,0,mixed
S6,112,DSA,Stack,1,5,5,8.0,0,1.7895,0,0,mixed
S6,35,DSA,Stack,0,1,4,8.0,1,2.236875,0,0,trial
S6,194,DSA,Queue,0,4,3,8.0,4,2.9825,1,0,trial
S6,113,DSA,Stack,1,3,13,8.0,0,0.6882692307692307,0,0,trial
S6,95,DSA,Stack,0,2,3,8.0,2,2.9825,0,0,trial
S6,68,DSA,Stack,0,3,7,8.0,3,1.2782142857142855,0,0,mixed
S6,117,DSA,Stack,1,4,10,8.0,0,0.8947499999999999,0,0,mixed
S6,164,DSA,Stack,0,4,13,8.0,4,0.6882692307692307,1,0,pattern
S6,56,DSA,Stack,0,4,7,8.0,4,1.2782142857142855,1,0,pattern
S6,19,DSA,Stack,1,3,7,8.0,0,1.2782142857142855,0,0,conceptual
S7,132,DSA,Stack,1,1,7,8.0,0,1.2782142857142855,0,1,mixed
S7,149,DSA,Stack,1,1,5,8.0,0,1.7895,0,1,mixed
S7,244,DSA,Queue,1,5,12,8.0,0,0.745625,0,0,conceptual
S7,281,DSA,Queue,0,1,5,8.0,1,1.7895,0,0,trial
S7,131,DSA,Stack,1,4,8,8.0,0,1.1184375,0,0,mixed
S7,167,DSA,Stack,0,4,12,8.0,4,0.745625,1,0,pattern
S7,21,DSA,Stack,1,3,3,8.0,0,2.9825,0,0,mixed
S7,233,DSA,Queue,0,2,15,8.0,2,0.5965,0,0,mixed
S7,275,DSA,Queue,1,4,15,8.0,0,0.5965,0,0,conceptual
S7,274,DSA,Queue,0,1,12,8.0,1,0.745625,0,0,mixed
S8,43,DSA,Stack,0,2,7,8.0,2,1.2782142857142855,0,0,mixed
S8,77,DSA,Stack,0,2,9,8.0,2,0.9941666666666666,0,0,conceptual
S8,272,DSA,Queue,0,1,3,8.0,1,2.9825,0,0,trial
S8,99,DSA,Stack,1,2,4,8.0,0,2.236875,0,1,mixed
S8,12,DSA,Stack,1,3,11,8.0,0,0.8134090909090909,0,0,mixed
S8,67,DSA,Stack,1,1,7,8.0,0,1.2782142857142855,0,1,trial
S8,114,DSA,Stack,0,5,12,8.0,5,0.745625,1,0,pattern
S8,147,DSA,Stack,0,1,9,8.0,1,0.9941666666666666,0,0,mixed
S8,236,DSA,Queue,1,3,11,8.0,0,0.8134090909090909,0,0,mixed
S8,70,DSA,Stack,0,2,13,8.0,2,0.6882692307692307,0,0,mixed
S9,234,DSA,Queue,1,4,3,8.0,0,2.9825,0,0,mixed
S9,229,DSA,Queue,0,4,13,8.0,4,0.6882692307692307,1,0,pattern
S9,112,DSA,Stack,1,5,14,8.0,0,0.6391071428571429,0,0,conceptual
S9,227,DSA,Queue,0,2,9,8.0,2,0.9941666666666666,0,0,mixed
S9,48,DSA,Stack,1,2,9,8.0,0,0.9941666666666666,0,1,mixed
S9,228,DSA,Queue,0,5,7,8.0,5,1.2782142857142855,1,0,pattern
S9,136,DSA,Stack,1,5,9,8.0,0,0.9941666666666666,0,0,mixed
S9,242,DSA,Queue,1,3,3,8.0,0,2.9825,0,0,mixed
S9,43,DSA,Stack,0,4,12,8.0,4,0.745625,1,0,pattern
S9,186,DSA,Queue,1,1,14,8.0,0,0.6391071428571429,0,1,mixed
S10,127,DSA,Stack,1,1,7,8.0,0,1.2782142857142855,0,1,mixed
S10,36,DSA,Stack,1,3,14,8.0,0,0.6391071428571429,0,0,conceptual
S10,26,DSA,Stack,1,2,9,8.0,0,0.9941666666666666,0,1,mixed
S10,49,DSA,Stack,0,1,11,8.0,1,0.8134090909090909,0,0,mixed
S10,235,DSA,Queue,1,1,14,8.0,0,0.6391071428571429,0,1,mixed
S10,80,DSA,Stack,1,5,5,8.0,0,1.7895,0,0,mixed
S10,34,DSA,Stack,0,4,3,8.0,4,2.9825,1,0,trial
S10,230,DSA,Queue,0,5,7,8.0,5,1.2782142857142855,1,0,pattern
S10,9,DSA,Stack,1,1,5,,0,1.7895,0,1,mixed
S10,139,DSA,Stack,0,1,8,8.0,1,1.1184375,0,0,pattern
S11,67,DSA,Stack,1,1,6,8.0,0,1.49125,0,1,mixed
S11,103,DSA,Stack,1,5,9,8.0,0,0.9941666666666666,0,0,mixed
S11,101,DSA,Stack,0,1,5,8.0,1,1.7895,0,0,trial
S11,83,DSA,Stack,0,3,6,8.0,3,1.49125,0,0,trial
S11,80,DSA,Stack,0,5,6,8.0,5,1.49125,1,0,trial
S11,20,DSA,Stack,1,1,5,8.0,0,1.7895,0,1,mixed
S11,212,DSA,Queue,1,4,11,8.0,0,0.8134090909090909,0,0,conceptual
S11,150,DSA,Stack,0,4,8,8.0,4,1.1184375,1,0,pattern
S11,241,DSA,Queue,1,2,10,8.0,0,0.8947499999999999,0,1,mixed
S11,280,DSA,Queue,0,1,6,8.0,1,1.49125,0,0,trial
S12,34,DSA,Stack,0,4,8,8.0,4,1.1184375,1,0,pattern
S12,279,DSA,Queue,0,5,15,8.0,5,0.5965,1,0,pattern
S12,250,DSA,Queue,1,5,8,8.0,0,1.1184375,0,0,mixed
S12,95,DSA,Stack,0,1,12,8.0,1,0.745625,0,0,pattern
S12,203,DSA,Queue,1,1,10,8.0,0,0.8947499999999999,0,1,mixed
S12,9,DSA,Stack,1,5,6,,0,1.49125,0,0,conceptual
S12,199,DSA,Queue,1,1,8,8.0,0,1.1184375,0,1,mixed
S12,74,DSA,Stack,1,5,5,8.0,0,1.7895,0,0,mixed
S12,206,DSA,Queue,0,2,4,8.0,2,2.236875,0,0,trial
S12,1,DSA,Stack,1,3,8,6.0,0,1.1184375,0,0,pattern
S13,136,DSA,Stack,1,5,12,8.0,0,0.745625,0,0,conceptual
S13,22,DSA,Stack,1,3,11,8.0,0,0.8134090909090909,0,0,mixed
S13,60,DSA,Stack,0,1,13,8.0,1,0.6882692307692307,0,0,mixed
S13,89,DSA,Stack,1,3,4,8.0,0,2.236875,0,0,mixed
S13,246,DSA,Queue,0,4,5,8.0,4,1.7895,1,0,trial
S13,185,DSA,Queue,0,3,12,8.0,3,0.745625,0,0,mixed
S13,81,DSA,Stack,1,4,8,8.0,0,1.1184375,0,0,mixed
S13,32,DSA,Stack,0,1,5,8.0,1,1.7895,0,0,trial
S13,171,DSA,Queue,0,3,8,8.0,3,1.1184375,0,0,mixed
S13,187,DSA,Queue,1,5,12,8.0,0,0.745625,0,0,conceptual
S14,52,DSA,Stack,0,5,10,8.0,5,0.8947499999999999,1,0,pattern
S14,72,DSA,Stack,0,1,13,8.0,1,0.6882692307692307,0,0,mixed
S14,272,DSA,Queue,1,3,7,8.0,0,1.2782142857142855,0,0,mixed
S14,62,DSA,Stack,1,2,11,8.0,0,0.8134090909090909,0,1,mixed
