id,subject,topic,concept,type,format,difficulty,question,optionA,optionB,optionC,optionD,answer,expected_time,concept_group
1,DSA,Stack,LIFO principle,conceptual,mcq,2,LIFO principle is used in which situation?,Stack,Queue,Tree,Graph,A,8,LIFO principle
2,DSA,Stack,LIFO principle,conceptual,mcq,2,LIFO principle is used in which situation?,Stack,Queue,Tree,Graph,A,8,LIFO principle
3,DSA,Stack,LIFO principle,conceptual,mcq,2,LIFO principle is mainly associated with which structure?,Stack,Queue,Tree,Graph,A,8,LIFO principle
4,DSA,Stack,LIFO principle,conceptual,mcq,2,Which concept is related to LIFO principle?,Stack,Queue,Tree,Graph,A,8,LIFO principle
5,DSA,Stack,LIFO principle,conceptual,mcq,2,LIFO principle is used in which situation?,Stack,Queue,Tree,Graph,A,8,LIFO principle
6,DSA,Stack,LIFO principle,conceptual,mcq,2,LIFO principle is mainly associated with which structure?,Stack,Queue,Tree,Graph,A,8,LIFO principle
7,DSA,Stack,LIFO principle,conceptual,mcq,2,Which statement describes LIFO principle?,Stack,Queue,Tree,Graph,A,8,LIFO principle
8,DSA,Stack,LIFO principle,conceptual,mcq,2,Which concept is related to LIFO principle?,Stack,Queue,Tree,Graph,A,8,LIFO principle
9,DSA,Stack,LIFO principle,conceptual,mcq,2,Which concept is related to LIFO principle?,Stack,Queue,Tree,Graph,A,8,LIFO principle
10,DSA,Stack,LIFO principle,conceptual,mcq,2,Which concept is related to LIFO principle?,Stack,Queue,Tree,Graph,A,8,LIFO principle
11,DSA,Stack,LIFO principle,conceptual,mcq,2,Which statement describes LIFO principle?,Stack,Queue,Tree,Graph,A,8,LIFO principle
12,DSA,Stack,LIFO principle,conceptual,mcq,2,LIFO principle is mainly associated with which structure?,Stack,Queue,Tree,Graph,A,8,LIFO principle
13,DSA,Stack,LIFO principle,conceptual,mcq,2,LIFO principle is used in which situation?,Stack,Queue,Tree,Graph,A,8,LIFO principle
14,DSA,Stack,LIFO principle,conceptual,mcq,2,LIFO principle is used in which situation?,Stack,Queue,Tree,Graph,A,8,LIFO principle
15,DSA,Stack,LIFO principle,conceptual,mcq,2,Which concept is related to LIFO principle?,Stack,Queue,Tree,Graph,A,8,LIFO principle
16,DSA,Stack,LIFO principle,conceptual,mcq,2,LIFO principle is mainly associated with which structure?,Stack,Queue,Tree,Graph,A,8,LIFO principle
17,DSA,Stack,LIFO principle,conceptual,mcq,2,LIFO principle is used in which situation?,Stack,Queue,Tree,Graph,A,8,LIFO principle
18,DSA,Stack,LIFO principle,conceptual,mcq,2,LIFO principle is mainly associated with which structure?,Stack,Queue,Tree,Graph,A,8,LIFO principle
19,DSA,Stack,LIFO principle,conceptual,mcq,2,Which concept is related to LIFO principle?,Stack,Queue,Tree,Graph,A,8,LIFO principle
20,DSA,Stack,LIFO principle,conceptual,mcq,2,LIFO principle is used in which situation?,Stack,Queue,Tree,Graph,A,8,LIFO principle
21,DSA,Stack,push operation,conceptual,mcq,2,Which concept is related to push operation?,Stack,Queue,Tree,Graph,A,8,push operation
22,DSA,Stack,push operation,conceptual,mcq,2,Which concept is related to push operation?,Stack,Queue,Tree,Graph,A,8,push operation
23,DSA,Stack,push operation,conceptual,mcq,2,push operation is used in which situation?,Stack,Queue,Tree,Graph,A,8,push operation
24,DSA,Stack,push operation,conceptual,mcq,2,Which concept is related to push operation?,Stack,Queue,Tree,Graph,A,8,push operation
25,DSA,Stack,push operation,conceptual,mcq,2,push operation is used in which situation?,Stack,Queue,Tree,Graph,A,8,push operation
26,DSA,Stack,push operation,conceptual,mcq,2,Which concept is related to push operation?,Stack,Queue,Tree,Graph,A,8,push operation
27,DSA,Stack,push operation,conceptual,mcq,2,push operation is mainly associated with which structure?,Stack,Queue,Tree,Graph,A,8,push operation
28,DSA,Stack,push operation,conceptual,mcq,2,push operation is mainly associated with which structure?,Stack,Queue,Tree,Graph,A,8,push operation
29,DSA,Stack,push operation,conceptual,mcq,2,push operation is used in which situation?,Stack,Queue,Tree,Graph,A,8,push operation
30,DSA,Stack,push operation,conceptual,mcq,2,push operation is mainly associated with which structure?,Stack,Queue,Tree,Graph,A,8,push operation
